name,model,price,annonce_date,OS,num_of_user_ratings,users_rating
شیائومی,Redmi Note 11 pro 5G 2201116SG,"9,799,000",2022,Android,199,4.2
اپل,iPhone 13 CH,"42,399,000",2021,iOS,199,4.4
موتورولا,Moto G54 5G,"7,819,000",2023,Android,198,4.5
شیائومی,Redmi Note 11 Pro Plus 5G,"10,080,000",2021,Android,198,4.5
آنر,X5,"4,718,000",2023,Android,186,4.3
سامسونگ,Galaxy A54 5G,"16,750,000",2023,Android,179,4.6
موتورولا,Moto G84 5G,"10,979,000",2023,Android,176,4.4
نوکیا,6310 TA-1400 DS,"3,479,000",2021,بدون سیستم عامل,171,3.9
سامسونگ,Galaxy A15,"6,570,000",2023,Android,170,4.4
سامسونگ,Galaxy A05s,"6,494,000",2023,Android,165,4.4
موتورولا,Moto E32s,"4,450,000",2022,Android,164,4.4
موتورولا,Moto G22,"6,400,000",2022,Android,158,4.1
آنر,X6a,"5,189,000",2023,Android,157,4.6
سامسونگ,Galaxy S23 FE,"25,890,000",2023,Android,156,4.5
سامسونگ,Galaxy A15,"8,780,000",2023,Android,156,4.4
سامسونگ,Galaxy A25,"9,549,000",2023,Android,144,4.6
آنر,X7a,"5,849,000",2023,Android,144,4.3
سامسونگ,Galaxy S23 FE,"27,550,000",2023,Android,143,4.3
آنر,X7a,"4,989,000",2023,Android,142,4.4
سامسونگ,Galaxy A25,"11,710,000",2023,Android,139,4.3
سامسونگ,Galaxy A15,"7,650,000",2023,Android,136,4.4
شیائومی,12T,"16,799,000",2022,Android,134,4.4
سامسونگ,Galaxy A34 5G,"12,999,000",2023,Android,129,4.5
آنر,X5 Plus,"4,289,000",2023,Android,128,4.6
شیائومی,Redmi 12C,"4,499,000",2022,Android,126,4.5
سامسونگ,Galaxy A04s,"6,630,000",2022,Android,123,4.4
موتورولا,Edge 40,"17,779,000",2023,Android,123,4.6
شیائومی,Redmi 10 2022,"5,199,000",2022,Android,122,4.5
سامسونگ,Galaxy A14,"6,196,000",2023,Android,122,4.3
نوکیا,G11 Plus,"3,939,000",2022,Android,120,3.9
شیائومی,Poco C65,"6,360,000",2023,Android,119,4.4
اپل,iPhone 11,"33,599,000",2019,iOS,119,4.4
سامسونگ,Galaxy A15,"7,420,000",2023,Android,117,4.3
سامسونگ,Galaxy A24 4G,"10,140,000",2023,Android,115,4.4
سامسونگ,Galaxy A05s,"5,441,000",2023,Android,111,4.3
ریلمی,11 5G,"8,999,000",2023,Android,110,4.5
ریلمی,C51,"5,189,000",2023,Android,109,4.4
سامسونگ,Galaxy A05,"5,550,000",2023,Android,107,4.3
آنر,X9B,"15,495,000",2023,Android,106,4.7
شیائومی,Poco F4,"12,379,000",2022,Android,106,4.6
ناتینگ,Phone 2,"32,599,000",2023,Android,106,4.8
شیائومی,12 Pro 2201122G,"31,300,000",2021,Android,104,4.3
شیائومی,Poco M6 Pro,"10,185,000",2024,Android,100,4.5
سامسونگ,Galaxy A04s,"6,366,000",2022,Android,99,4.4
شیائومی,Redmi 10 5G 22041219NY,"5,599,000",2022,Android,91,4.5
شیائومی,Redmi 12,"7,825,000",2023,Android,83,4.5
آنر,90,"18,899,000",2023,Android,81,4.6
موتورولا,Edge 30 Fusion,"24,475,000",2022,Android,81,4.6
سامسونگ,Galaxy A15,"9,015,000",2023,Android,80,4.5
